appid,name,developer,publisher,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,competitive,avgNumberOfPlayersLast30Days,userPercentage
2069310,RealFlight Evolution,"Horizon Hobby, LLC","Horizon Hobby, LLC","20,000 .. 50,000",3353,0,3353,0,687,6999,No,601,0.001891186003335536
629730,Blade and Sorcery,WarpFrog,WarpFrog,"1,000,000 .. 2,000,000",478,0,264,0,792,2999,No,591,0.0018597186821485887
620980,Beat Saber,Beat Games,Beat Games,"2,000,000 .. 5,000,000",1880,14,603,14,874,2999,No,580,0.0018251046288429466
2014780,X-Plane 12,Laminar Research,Laminar Research,"100,000 .. 200,000",0,0,0,0,817,5999,No,557,0.0017527297901129676
314160,Microsoft Flight Simulator X: Steam Edition,Microsoft Game Studios,Xbox Game Studios,"1,000,000 .. 2,000,000",1960,0,282,0,723,2499,No,535,0.0016835016835016834
269950,X-Plane 11,Laminar Research,Laminar Research,"1,000,000 .. 2,000,000",864,0,1233,0,725,2999,No,529,0.001664621290789515
493490,City Car Driving,"Forward Development, Ltd.","Forward Global Group, Ltd.","1,000,000 .. 2,000,000",1213,0,211,0,1003,1249,No,508,0.0015985399162969257
2840770,Avatar: Frontiers of Pandora,Massive Entertainment – A Ubisoft Studio,Ubisoft,"20,000 .. 50,000",125,0,133,0,367,6999,No,500,0.0015733660593473678
2406770,Bodycam,Reissad Studio,Reissad Studio,"500,000 .. 1,000,000",421,187,265,187,634,3332,No,489,0.0015387520060417257
1486350,VRoid Studio v0.13.1,pixiv Inc.,pixiv Inc.,"500,000 .. 1,000,000",660,0,44,0,531,0,No,487,0.0015324585418043362
1987080,Inside the Backrooms,MrFatcat,"MrFatcat, Dropsiick","1,000,000 .. 2,000,000",346,0,248,0,525,699,No,480,0.0015104314169734731
211500,RaceRoom Racing Experience,KW Studios,"KW Studios, RaceRoom Entertainment AG","5,000,000 .. 10,000,000",183,0,35,0,859,0,Yes,456,0.0014349098461247994
2108330,F1 23,Codemasters,Electronic Arts,"1,000,000 .. 2,000,000",6634,0,10733,0,771,6999,Yes,451,0.0014191761855313256
571740,Golf It!,Perfuse Entertainment,Perfuse Entertainment,"1,000,000 .. 2,000,000",683,0,310,0,741,899,No,448,0.0014097359891752416
588030,Derail Valley,Altfuture,Altfuture,"200,000 .. 500,000",0,0,0,0,779,3999,No,406,0.0012775732401900627
621830,WRC 7 FIA World Rally Championship,KT Racing,Nacon,"500,000 .. 1,000,000",165,0,70,0,501,1999,No,389,0.001224078794172252
230290,Universe Sandbox,Giant Army,Giant Army,"1,000,000 .. 2,000,000",318,0,187,0,634,2009,No,387,0.0012177853299348627
2370570,Standable: Full Body Estimation,Standable,Standable,"100,000 .. 200,000",0,0,0,0,465,1999,No,386,0.001214638597816168
546560,Half-Life: Alyx,Valve,Valve,"2,000,000 .. 5,000,000",651,110,588,116,531,5999,No,361,0.0011359702948487995
16900,GROUND BRANCH,BlackFoot Studios,MicroProse Software,"1,000,000 .. 2,000,000",246,138,230,138,467,2999,No,347,0.0010919160451870731
365960,rFactor 2,Studio 397,Studio 397,"500,000 .. 1,000,000",117,0,165,0,580,2999,No,308,0.0009691934925579786
