appid,name,developer,publisher,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,competitive,avgNumberOfPlayersLast30Days,userPercentage
607890,Sword Art Online: Hollow Realization Deluxe Edition,AQURIA,BANDAI NAMCO Entertainment,"200,000 .. 500,000",1245,0,669,0,36,4999,No,33,0.00010384215991692627
3016840,I Am Cat,NEW FOLDER GAMES LTD,NEW FOLDER GAMES LTD,"0 .. 20,000",0,0,0,0,11,1999,No,32,0.00010069542779823154
2113900,Touge Shakai,Raiyon Studios Pte Ltd,Raiyon Studios Pte Ltd,"20,000 .. 50,000",0,0,0,0,32,1499,No,32,0.00010069542779823154
1402020,SCP: Labrat,Bezbro Games,Bezbro Games,"500,000 .. 1,000,000",0,0,0,0,54,0,No,32,0.00010069542779823154
431600,Automobilista,Reiza Studios,Reiza Studios,"200,000 .. 500,000",721,0,721,0,41,2499,No,31,9.75486956795368e-05
721090,SKYBOX VR Video Player,Skybox Studio,Source Technology,"50,000 .. 100,000",254,0,380,0,24,999,No,31,9.75486956795368e-05
348250,Google Earth VR,Google,Google,"500,000 .. 1,000,000",47,0,23,0,42,0,No,31,9.75486956795368e-05
342180,Arizona Sunshine,"Vertigo Games, Jaywalkers Interactive",Vertigo Games,"500,000 .. 1,000,000",145,0,118,0,51,1999,No,30,9.440196356084207e-05
496240,Onward,Downpour Interactive,Downpour Interactive,"500,000 .. 1,000,000",210,0,210,0,47,2499,No,30,9.440196356084207e-05
882140,Reentry - A Space Flight Simulator,Lyra Creative,Lyra Creative,"100,000 .. 200,000",0,0,0,0,16,2999,No,30,9.440196356084207e-05
518150,Intruder,Superboss Games,Superboss Games,"500,000 .. 1,000,000",234,0,191,0,54,1999,Yes,30,9.440196356084207e-05
1363430,Propagation VR,WanadevStudio,WanadevStudio,"500,000 .. 1,000,000",40,0,42,0,51,0,No,29,9.125523144214733e-05
1208080,Cable Guardian,Bitslo,Bitslo,"0 .. 20,000",0,0,0,0,77,0,No,27,8.496176720475786e-05
465240,Serious Sam VR: The Last Hope,Croteam VR,"Devolver Digital, Croteam","200,000 .. 500,000",1436,0,1436,0,92,2999,No,27,8.496176720475786e-05
958400,Project CARS 3,Slightly Mad Studios,BANDAI NAMCO Entertainment,"200,000 .. 500,000",333,0,333,0,30,5999,No,27,8.496176720475786e-05
2287520,Five Nights at Freddy's: Help Wanted 2,Steel Wool Studios,ScottGames,"100,000 .. 200,000",335,0,475,0,41,3999,No,27,8.496176720475786e-05
1234730,HereSphere VR Video Player,HereSphere LLC,HereSphere LLC,"0 .. 20,000",0,0,0,0,35,2999,No,26,8.181503508606313e-05
916840,The Walking Dead: Saints & Sinners,Skydance Interactive,Skydance Interactive,"500,000 .. 1,000,000",267,0,504,0,55,1999,No,26,8.181503508606313e-05
1469280,SuchArt: Creative Space,Goose Minded,HypeTrain Digital,"500,000 .. 1,000,000",109,0,157,0,43,0,No,26,8.181503508606313e-05
801550,VAIL VR,AEXLAB,AEXLAB,"200,000 .. 500,000",0,0,0,0,33,0,Yes,26,8.181503508606313e-05
280,Half-Life: Source,Valve,Valve,"2,000,000 .. 5,000,000",155,0,79,0,42,999,No,26,8.181503508606313e-05
732690,FIVE NIGHTS AT FREDDY'S: HELP WANTED,Steel Wool Studios,ScottGames,"500,000 .. 1,000,000",155,0,155,0,55,2999,No,25,7.866830296736838e-05
1484280,Demeo,Resolution Games,Resolution Games,"200,000 .. 500,000",0,0,0,0,27,3999,No,25,7.866830296736838e-05
518060,Chess Ultra,Ripstone,Ripstone,"100,000 .. 200,000",41,0,72,0,36,1299,No,25,7.866830296736838e-05
15320,IL-2 Sturmovik: 1946,1C: Maddox Games,Fulqrum Publishing,"200,000 .. 500,000",1059,0,1537,0,21,999,No,24,7.552157084867365e-05
6030,STAR WARS Jedi Knight II - Jedi Outcast,Raven Software,"LucasArts, Lucasfilm, Disney","500,000 .. 1,000,000",1275,0,29,0,34,999,No,24,7.552157084867365e-05
691260,POPULATION: ONE,"BigBox VR, Inc.","BigBox VR, Inc.","500,000 .. 1,000,000",0,0,0,0,39,1999,No,23,7.237483872997891e-05
754530,IL-2 Sturmovik: Cliffs of Dover Blitz Edition,"Team Fusion Simulations, 1C: Maddox Games",Fulqrum Publishing,"200,000 .. 500,000",1683,0,3321,0,38,999,No,22,6.922810661128418e-05
848050,GP Bikes,PiBoSo,PiBoSo,"0 .. 20,000",0,0,0,0,15,2499,No,22,6.922810661128418e-05
695290,The Golf Club 2019 featuring PGA TOUR,HB Studios Multimedia Ltd.,2K,"50,000 .. 100,000",680,0,930,0,27,0,No,22,6.922810661128418e-05
703860,GRID,Codemasters,"Codemasters, Electronic Arts","200,000 .. 500,000",130,0,212,0,34,0,No,22,6.922810661128418e-05
2729480,NightClub Simulator,mandegames,mandegames,"0 .. 20,000",0,0,0,0,26,699,No,22,6.922810661128418e-05
638650,Sword Art Online Re: Hollow Fragment,"AQURIA Co., Ltd.",BANDAI NAMCO Entertainment,"100,000 .. 200,000",545,0,981,0,19,1999,No,21,6.608137449258945e-05
564980,Killer Klownz,Peter Labick,My Way Games,"50,000 .. 100,000",458,0,458,0,1,499,No,21,6.608137449258945e-05
1097580,CUSTOM ORDER MAID 3D2 It's a Night Magic,KISS,S-court,"50,000 .. 100,000",283,0,283,0,20,3200,No,21,6.608137449258945e-05
1153640,Chorus,Deep Silver Fishlabs,Deep Silver,"200,000 .. 500,000",961,0,961,0,21,2499,No,21,6.608137449258945e-05
890550,RUMBLE,Buckethead Entertainment,Buckethead Entertainment,"200,000 .. 500,000",38,0,45,0,40,2000,Yes,20,6.293464237389471e-05
233720,Surgeon Simulator,Bossa Studios,Infogrames,"1,000,000 .. 2,000,000",246,9,135,9,29,999,No,20,6.293464237389471e-05
1094390,Waltz of the Wizard,Aldin Dynamics,Aldin Dynamics,"20,000 .. 50,000",192,0,210,0,20,1999,No,20,6.293464237389471e-05
936720,Wrench,Missing Digit,Missing Digit,"50,000 .. 100,000",0,0,0,0,36,2399,No,20,6.293464237389471e-05
450390,The Lab,Valve,Valve,"1,000,000 .. 2,000,000",86,0,47,0,31,0,No,20,6.293464237389471e-05
1255560,Myst,Cyan Worlds Inc,Cyan Worlds Inc,"100,000 .. 200,000",0,0,0,0,27,2999,No,20,6.293464237389471e-05
1331510,Battle Talent,CyDream,CyDream,"20,000 .. 50,000",0,0,0,0,20,1999,No,19,5.978791025519997e-05
780100,ClearMem :: Free Up Your RAM,Smorb Software,Smorb Software,"20,000 .. 50,000",0,0,0,0,18,999,No,19,5.978791025519997e-05
515220,F1 2017,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts","200,000 .. 500,000",4417,0,3598,0,38,0,No,19,5.978791025519997e-05
512410,69 Ways to Kill a Zombie,Wadup Games,Conglomerate 5,"0 .. 20,000",0,0,0,0,0,99,No,19,5.978791025519997e-05
490920,Wolfpack,Usurpator AB,SUBSIM,"50,000 .. 100,000",271,0,271,0,26,3499,No,18,5.664117813650524e-05
255220,GRID Autosport,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","500,000 .. 1,000,000",568,0,360,0,32,0,No,18,5.664117813650524e-05
396900,GRIP: Combat Racing,Caged Element Inc.,Wired Productions,"200,000 .. 500,000",23,0,26,0,41,2999,No,18,5.664117813650524e-05
1849900,Among Us VR,"Schell Games, Innersloth, Robot Teddy",Innersloth,"100,000 .. 200,000",49,0,86,0,15,999,No,17,5.34944460178105e-05
787790,Epic Roller Coasters,B4T Games,B4T Games,"200,000 .. 500,000",14,0,20,0,19,0,No,17,5.34944460178105e-05
1514840,All-In-One Sports VR,Appnori Inc., Appnori Inc.,"20,000 .. 50,000",0,0,0,0,20,1999,No,17,5.34944460178105e-05
72200,Universe Sandbox Legacy,Giant Army,Giant Army,"500,000 .. 1,000,000",166,0,141,0,20,0,No,17,5.34944460178105e-05
591790,BREACH IT,Domas Sabockis,My Way Games,"50,000 .. 100,000",458,0,458,0,0,499,No,17,5.34944460178105e-05
1314140,TramSim Vienna - The Tram Simulator,ViewApp,Aerosoft GmbH,"100,000 .. 200,000",0,0,0,0,30,3499,No,16,5.034771389911577e-05
794860,eSail Sailing Simulator,eSail Ltd.,,"20,000 .. 50,000",0,0,0,0,17,3799,No,16,5.034771389911577e-05
2620240,Spectral Scream,STOIC Ent.,STOIC Ent.,"50,000 .. 100,000",0,0,0,0,33,499,No,16,5.034771389911577e-05
339790,rFactor,Image Space Incorporated,Image Space Incorporated,"50,000 .. 100,000",0,0,0,0,9,2499,No,16,5.034771389911577e-05
2441700,UNDERDOGS,One Hamsa,One Hamsa,"50,000 .. 100,000",39,0,39,0,12,2999,No,16,5.034771389911577e-05
1707990,Skydance's BEHEMOTH,Skydance Games,Skydance Games,"0 .. 20,000",0,0,0,0,17,3999,No,15,4.7200981780421035e-05
1465070,Legendary Tales,Urban Wolf Games Inc.,Urban Wolf Games Inc.,"200,000 .. 500,000",759,0,759,0,9,5499,No,15,4.7200981780421035e-05
444930,Zaccaria Pinball,Magic Pixel Kft.,Magic Pixel Kft.,"200,000 .. 500,000",2,0,2,0,25,0,No,15,4.7200981780421035e-05
617160,Home Sweet Home,"YGGDRAZIL GROUP CO.,LTD","YGGDRAZIL GROUP CO.,LTD","100,000 .. 200,000",182,0,117,0,20,1599,No,15,4.7200981780421035e-05
402560,Tabletopia,Tabletopia,Tabletopia,"500,000 .. 1,000,000",111,0,40,0,31,0,No,15,4.7200981780421035e-05
1205040,Granny: Chapter Two,DVloper,DVloper,"50,000 .. 100,000",562,0,562,0,8,499,No,15,4.7200981780421035e-05
406350,KartKraft,Motorsport Games,Motorsport Games,"200,000 .. 500,000",0,0,0,0,36,2499,No,15,4.7200981780421035e-05
1079800,Pistol Whip,Cloudhead Games Ltd.,Cloudhead Games Ltd.,"200,000 .. 500,000",165,0,75,0,25,2999,No,14,4.40542496617263e-05
233610,Distance,Refract,Refract,"200,000 .. 500,000",403,0,215,0,18,2499,No,14,4.40542496617263e-05
1345820,Ragnarock,WanadevStudio,WanadevStudio,"100,000 .. 200,000",225,0,446,0,17,2499,No,14,4.40542496617263e-05
1397390,The Break-In,"jorgen games Ltd, Oliver Josh",jorgen games Ltd,"100,000 .. 200,000",13,0,13,0,28,1999,No,14,4.40542496617263e-05
1924170,TT Isle Of Man: Ride on the Edge 3,Nacon Studio Milan,Nacon,"20,000 .. 50,000",0,0,0,0,25,4999,No,14,4.40542496617263e-05
578620,GORN,Free Lives,Devolver Digital,"200,000 .. 500,000",557,0,259,0,21,1999,No,14,4.40542496617263e-05
301760,Disney•Pixar Cars 2: The Video Game,Avalanche Software,Disney,"100,000 .. 200,000",8,0,8,0,28,1999,No,14,4.40542496617263e-05
306760,Obduction,Cyan Inc.,Cyan Inc.,"200,000 .. 500,000",0,0,0,0,14,2999,No,13,4.090751754303156e-05
1116540,DAVIGO: VR vs. PC,Davigo Studio,Davigo Studio,"20,000 .. 50,000",27,0,27,0,14,2499,No,13,4.090751754303156e-05
754890,Firmament,Cyan Worlds Inc,Cyan Worlds Inc,"50,000 .. 100,000",0,0,0,0,25,3499,No,13,4.090751754303156e-05
1947500,The Walking Dead: Saints & Sinners - Chapter 2: Retribution,Skydance Interactive,Skydance Interactive,"50,000 .. 100,000",0,0,0,0,24,999,No,13,4.090751754303156e-05
577690,Spooky's Jump Scare Mansion: HD Renovation,Albino Moose Games,Albino Moose Games,"100,000 .. 200,000",419,0,604,0,15,999,No,13,4.090751754303156e-05
1386890,Hyper Dash,Triangle Factory,Triangle Factory,"50,000 .. 100,000",0,0,0,0,33,0,Yes,13,4.090751754303156e-05
1129310,Receiver 2,Wolfire Games,Wolfire Games,"500,000 .. 1,000,000",0,0,0,0,17,1999,No,12,3.776078542433683e-05
1506850,Cards & Tankards,"Divergent Realities, LLC","Divergent Realities, LLC","50,000 .. 100,000",0,0,0,0,17,0,No,12,3.776078542433683e-05
473770,BallisticNG,Neognosis,Neognosis,"200,000 .. 500,000",108,0,156,0,13,1499,No,12,3.776078542433683e-05
1039880,Hellsplit: Arena,Deep Type Games,Deep Type Games,"200,000 .. 500,000",0,0,0,0,20,2499,No,12,3.776078542433683e-05
877200,Zero Caliber VR,XREAL Games,XREAL Games,"200,000 .. 500,000",195,0,235,0,12,2499,No,12,3.776078542433683e-05
494150,The Thrill of the Fight - VR Boxing,Sealost Interactive LLC,Sealost Interactive LLC,"200,000 .. 500,000",39,0,39,0,16,999,No,12,3.776078542433683e-05
480430,Hide and Shriek,Funcom,Funcom,"500,000 .. 1,000,000",107,0,57,0,21,0,Yes,12,3.776078542433683e-05
1837750,Demeo: PC Edition,Resolution Games,Resolution Games,"20,000 .. 50,000",161,0,161,0,10,0,No,12,3.776078542433683e-05
1125240,Ancient Dungeon,Eric Thullen,Eric Thullen,"50,000 .. 100,000",42,0,58,0,11,1999,No,12,3.776078542433683e-05
530620,Resident Evil 7 Teaser: Beginning Hour,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","1,000,000 .. 2,000,000",63,0,38,0,8,0,No,12,3.776078542433683e-05
1922010,Breachers,Triangle Factory,Triangle Factory,"100,000 .. 200,000",0,0,0,0,13,2999,No,12,3.776078542433683e-05
838410,Tabletop Playground,Plasticity Studios,Modularity,"0 .. 20,000",0,0,0,0,34,1499,No,11,3.461405330564209e-05
587860,Tales of Escape,OnSkull Games,OnSkull Games,"100,000 .. 200,000",73,0,80,0,13,0,No,11,3.461405330564209e-05
1070910,Are you ready for Valve Index?,Valve,Ubisoft,"200,000 .. 500,000",0,0,0,0,14,0,No,11,3.461405330564209e-05
296710,Monstrum,Team Junkfish,Junkfish Limited,"200,000 .. 500,000",139,0,83,0,15,1799,No,11,3.461405330564209e-05
653930,Tiny Town VR,Lumbernauts,Lumbernauts,"100,000 .. 200,000",94,0,94,0,19,1499,No,10,3.1467321186947354e-05
885000,Synth Riders,Kluge Interactive,Kluge Interactive,"100,000 .. 200,000",79,0,117,0,16,2499,No,10,3.1467321186947354e-05
947890,VirtualCast,"VirtualCast, Inc.","VirtualCast, Inc.","20,000 .. 50,000",0,0,0,0,38,0,No,10,3.1467321186947354e-05
244050,Rise of Flight United,777 Studios,FOR-GAMES CR LTD,"500,000 .. 1,000,000",147,0,205,0,22,0,No,10,3.1467321186947354e-05
2359470,Strayed,Crustacean Interactive,Crustacean Interactive,"0 .. 20,000",0,0,0,0,3,1999,No,10,3.1467321186947354e-05
448850,Overload,"Revival Productions, LLC","Revival Productions, LLC","50,000 .. 100,000",0,0,0,0,13,2999,No,9,2.832058906825262e-05
1082180,TT Isle of Man: Ride on the Edge 2,KT Racing,Nacon,"100,000 .. 200,000",2223,0,2223,0,13,2999,No,9,2.832058906825262e-05
1449500,Bassmaster Fishing,Dovetail Games,Dovetail Games - Fishing,"0 .. 20,000",0,0,0,0,7,2499,Yes,9,2.832058906825262e-05
515260,Virtual Rides 3 - Funfair Simulator,Pixelsplit Simulations,"Pixelsplit Simulations, Pixelsplit","100,000 .. 200,000",400,0,400,0,8,2499,No,9,2.832058906825262e-05
726830,Vacation Simulator,Owlchemy Labs,Owlchemy Labs,"50,000 .. 100,000",80,0,96,0,11,1999,No,9,2.832058906825262e-05
2394350,aerofly RC 10 - RC Flight Simulator,IPACS,IPACS,"0 .. 20,000",0,0,0,0,9,7999,No,9,2.832058906825262e-05
732230,LuxVR,Egemen Ertugrul,Egemen Ertugrul,"20,000 .. 50,000",0,0,0,0,14,0,No,9,2.832058906825262e-05
451650,Whirligig VR Media Player,phileday,Whirligig,"100,000 .. 200,000",3110,0,6164,0,10,399,No,9,2.832058906825262e-05
250620,Among the Sleep - Enhanced Edition,Krillbite Studio,Krillbite Studio,"200,000 .. 500,000",283,0,240,0,17,1699,No,9,2.832058906825262e-05
843390,Vertigo 2,Zach Tsiakalis-Brown,Zulubo Productions,"100,000 .. 200,000",84,0,130,0,5,2999,No,9,2.832058906825262e-05
499610,Copter and Sky,Fly Dream Dev,Fly Dream Dev,"0 .. 20,000",255,0,255,0,2,49,No,9,2.832058906825262e-05
542750,PIRATADO 1,Ryabov Eduard,RyabovEduard,"0 .. 20,000",0,0,0,0,2,999,No,9,2.832058906825262e-05
804490,Creed: Rise to Glory,Survios,Survios,"200,000 .. 500,000",95,0,128,0,10,2999,No,8,2.5173856949557886e-05
851890,Gal*Gun 2,"INTI CREATES CO., LTD.",PQube,"100,000 .. 200,000",885,0,534,0,10,749,No,8,2.5173856949557886e-05
767390,Dakar 18,Bigmoon Entertainment,"Bigmoon Entertainment, Ravenscourt","50,000 .. 100,000",110,0,110,0,11,2999,No,8,2.5173856949557886e-05
1248360,WalkinVR,Frankly Dog,Frankly Dog,"20,000 .. 50,000",0,0,0,0,8,0,No,8,2.5173856949557886e-05
768100,GizmoVR Video Player,Gizmo VR LTD,Gizmoplay Ltd,"100,000 .. 200,000",18,0,20,0,8,0,No,8,2.5173856949557886e-05
783710,Virtual Desktop Dashboard,Guy Godin,Guy Godin,"20,000 .. 50,000",0,0,0,0,10,0,No,8,2.5173856949557886e-05
486780,Fruit Ninja VR,Halfbrick Studios Pty Ltd,Halfbrick Studios Pty Ltd,"50,000 .. 100,000",102,0,142,0,10,1499,No,8,2.5173856949557886e-05
1910860,Grimlord,"Metalcat Interactive Co.,Ltd","Metalcat Interactive Co.,Ltd","0 .. 20,000",0,0,0,0,14,2999,No,8,2.5173856949557886e-05
517160,Richie's Plank Experience,Toast Interactive,Toast Interactive,"50,000 .. 100,000",56,0,56,0,16,1499,No,8,2.5173856949557886e-05
252470,Space Pirates And Zombies 2,MinMax Games Ltd.,MinMax Games Ltd.,"200,000 .. 500,000",438,0,740,0,7,1999,No,8,2.5173856949557886e-05
696170,SENRAN KAGURA Peach Beach Splash,Tamsoft,"XSEED Games, Marvelous USA, Inc., Marvelous","200,000 .. 500,000",13507,692,26822,692,7,2999,No,8,2.5173856949557886e-05
1019550,Thief Simulator VR,GameBoom VR,"PlayWay S.A., GameBoom VR","100,000 .. 200,000",309,0,438,0,6,1999,No,7,2.202712483086315e-05
503900,Candy Smash VR,Wadup Games,Conglomerate 5,"20,000 .. 50,000",247,0,247,0,25,99,No,7,2.202712483086315e-05
353380,Steam Link,,Anima Locus,"500,000 .. 1,000,000",0,0,0,0,2,0,Yes,7,2.202712483086315e-05
252330,Slender: The Arrival,Blue Isle Studios,Blue Isle Publishing,"500,000 .. 1,000,000",120,0,122,0,7,1999,No,7,2.202712483086315e-05
1188920,YUR,YUR Inc,YUR Inc,"100,000 .. 200,000",0,0,0,0,6,0,No,7,2.202712483086315e-05
1481440,Guardians Frontline,VirtualAge,Fast Travel Games,"20,000 .. 50,000",0,0,0,0,10,2499,No,7,2.202712483086315e-05
253030,Race The Sun,Flippfly LLC,Flippfly LLC,"500,000 .. 1,000,000",122,1,109,1,8,999,Yes,7,2.202712483086315e-05
551370,Gravity Sketch,Gravity Sketch Limited,Gravity Sketch Limited,"0 .. 20,000",0,0,0,0,1,0,No,7,2.202712483086315e-05
1579880,The Light Brigade,Funktronic Labs,Funktronic Labs,"20,000 .. 50,000",0,0,0,0,6,2499,No,7,2.202712483086315e-05
488310,Eleven Table Tennis,For Fun Labs,For Fun Labs,"200,000 .. 500,000",63,0,75,0,12,2999,No,7,2.202712483086315e-05
1523720,Cook-Out,Resolution Games,Resolution Games,"0 .. 20,000",24,0,24,0,26,1999,No,7,2.202712483086315e-05
587430,I Expect You To Die,Schell Games,Schell Games,"200,000 .. 500,000",146,0,202,0,10,1499,No,7,2.202712483086315e-05
991260,Borderlands 2 VR,Gearbox Software,2K,"50,000 .. 100,000",104,0,104,0,7,4999,No,7,2.202712483086315e-05
667800,Loco Dojo,Make Real,Make Real,"0 .. 20,000",0,0,0,0,11,1999,Yes,6,1.8880392712168413e-05
650510,ZONE OF THE ENDERS THE 2nd RUNNER : M∀RS / アヌビス ゾーン・オブ・エンダーズ : マーズ,"KONAMI, Cygames, Inc.",KONAMI,"50,000 .. 100,000",20,0,20,0,8,2999,No,6,1.8880392712168413e-05
2609610,CONVRGENCE,Monkey-With-a-Bomb,Monkey-With-a-Bomb,"20,000 .. 50,000",0,0,0,0,10,1499,No,6,1.8880392712168413e-05
439550,'n Verlore Verstand,"Skobbejak Games, Skermunkel","Skermunkel, Skobbejak Games","20,000 .. 50,000",0,0,0,0,0,99,No,6,1.8880392712168413e-05
1099550,3D Organon Anatomy,Medis Media,Medis Media,"50,000 .. 100,000",0,0,0,0,1,0,No,6,1.8880392712168413e-05
266310,GameGuru Classic,TheGameCreators,TheGameCreators,"500,000 .. 1,000,000",120,0,31,0,9,1999,No,6,1.8880392712168413e-05
1112400,Project Torque - Free 2 Play MMO Racing Game,"Invictus Games Ltd., JOGARA LTD",JOGARA LTD,"500,000 .. 1,000,000",37,0,37,0,5,0,No,6,1.8880392712168413e-05
2296380,I Expect You To Die 3: Cog in the Machine,Schell Games,Schell Games,"50,000 .. 100,000",0,0,0,0,5,1499,No,6,1.8880392712168413e-05
1366950,Driver4VR,Frankly Dog,Frankly Dog,"20,000 .. 50,000",0,0,0,0,9,1799,No,6,1.8880392712168413e-05
375900,Trackmania Turbo,Nadeo,Ubisoft,"100,000 .. 200,000",357,0,357,0,11,3999,Yes,6,1.8880392712168413e-05
1394270,SCP: Escape Together,SCP: Escape Together development team,SCP: Escape Together development team,"200,000 .. 500,000",0,0,0,0,9,0,No,6,1.8880392712168413e-05
327140,Tilt Brush,Google,Google,"200,000 .. 500,000",137,0,144,0,7,0,No,6,1.8880392712168413e-05
571890,Shapelab,Leopoly,Leopoly,"0 .. 20,000",0,0,0,0,11,6499,No,6,1.8880392712168413e-05
1402320,Medal of Honor: Above and Beyond,Respawn Entertainment,Electronic Arts,"100,000 .. 200,000",0,0,0,0,8,3999,No,6,1.8880392712168413e-05
1736400,TramSim Munich - The Tram Simulator,ViewApp,Aerosoft GmbH,"20,000 .. 50,000",0,0,0,0,3,3499,No,6,1.8880392712168413e-05
356400,Thumper,Drool,Drool,"200,000 .. 500,000",175,0,130,0,10,1999,No,6,1.8880392712168413e-05
1051200,Trover Saves the Universe,"Squanch Games, Inc.","Squanch Games, Inc.","200,000 .. 500,000",0,0,0,0,5,2999,No,6,1.8880392712168413e-05
1358140,Cooking Simulator VR,GameBoom VR,"Big Cheese Studio, PlayWay S.A.","100,000 .. 200,000",207,0,290,0,13,2499,No,6,1.8880392712168413e-05
469610,Rick and Morty: Virtual Rick-ality,Owlchemy Labs,Adult Swim Games,"200,000 .. 500,000",111,0,95,0,9,2999,No,6,1.8880392712168413e-05
1341490,Hellsweeper VR,Mixed Realms Pte Ltd,Vertigo Games,"0 .. 20,000",0,0,0,0,5,2999,No,6,1.8880392712168413e-05
673900,Avem33,WaVR,WaVR,"20,000 .. 50,000",0,0,0,0,5,0,No,6,1.8880392712168413e-05
1596310,Crypto Mining Simulator,Satosha Nakamoti,Satosha Nakamoti,"0 .. 20,000",0,0,0,0,7,74,No,6,1.8880392712168413e-05
2677750,VRidge,RiftCat Sp. z o.o.,RiftCat Sp. z o.o.,"0 .. 20,000",0,0,0,0,3,1499,No,6,1.8880392712168413e-05
354240,"Please, Don’t Touch Anything",Four Quarters,ForwardXP,"200,000 .. 500,000",151,0,139,0,10,499,No,6,1.8880392712168413e-05
1801650,Lost: Find,DSGame,DSGame,"200,000 .. 500,000",195,0,195,0,7,399,No,6,1.8880392712168413e-05
685240,Paradiddle,Emre Tanirgan,Emre Tanirgan,"20,000 .. 50,000",30,0,30,0,5,2499,No,6,1.8880392712168413e-05
471660,Kingspray Graffiti VR,"Andrew Bates, Craig Bentick, Nolan Cunningham, Onomis",Infectious Ape,"100,000 .. 200,000",0,0,0,0,7,1499,No,6,1.8880392712168413e-05
1646580,Project Demigod,Omnifarious Studios LLC,Fast Travel Games,"0 .. 20,000",0,0,0,0,6,1999,No,6,1.8880392712168413e-05
517710,Redout: Enhanced Edition,34BigThings srl,34BigThings srl,"500,000 .. 1,000,000",162,0,41,0,4,1999,No,5,1.5733660593473677e-05
1315980,Tin Can,Tin Can Studio,"Tin Can Studio, IndieArk","50,000 .. 100,000",0,0,0,0,1,1999,No,5,1.5733660593473677e-05
1282210,DEEMO -Reborn-,Rayark International Limited,Rayark International Limited,"500,000 .. 1,000,000",140,0,140,0,5,2499,No,5,1.5733660593473677e-05
1499120,I Expect You To Die 2: The Spy and the Liar,Schell Games,Schell Games,"50,000 .. 100,000",48,0,48,0,6,1499,No,5,1.5733660593473677e-05
1581480,HUMANITY,"tha ltd., Enhance",Enhance,"20,000 .. 50,000",0,0,0,0,18,1499,No,5,1.5733660593473677e-05
254440,Pool Nation,Cherry Pop Games,Cherry Pop Games,"200,000 .. 500,000",266,0,266,0,5,699,No,5,1.5733660593473677e-05
607440,Escape: VR,JapanCo,Bitlock Studio,"100,000 .. 200,000",0,0,0,0,0,199,No,5,1.5733660593473677e-05
430210,Megaton Rainfall,"Pentadimensional Games, SL","Pentadimensional Games, SL","200,000 .. 500,000",1,0,1,0,11,1599,No,5,1.5733660593473677e-05
418650,Space Pirate Trainer,I-Illusions,I-Illusions,"200,000 .. 500,000",33,0,33,0,13,1499,No,5,1.5733660593473677e-05
651090,Aces High III,HiTech Creations Inc.,HiTech Creations Inc.,"100,000 .. 200,000",0,0,0,0,8,0,No,5,1.5733660593473677e-05
302710,BlazeRush,Targem Games,Targem Games,"200,000 .. 500,000",96,0,115,0,15,999,No,5,1.5733660593473677e-05
1782330,Green Hell VR,Incuvo,Incuvo,"20,000 .. 50,000",133,0,133,0,2,2499,No,5,1.5733660593473677e-05
1942110,Bootstrap Island,Maru VR Productions,Maru VR Productions,"0 .. 20,000",0,0,0,0,6,1749,No,5,1.5733660593473677e-05
434030,Aerofly FS 2 Flight Simulator,IPACS,IPACS,"200,000 .. 500,000",129,0,147,0,6,4999,No,5,1.5733660593473677e-05
2709120,Clamb,OP Softworks,OP Softworks,"0 .. 20,000",0,0,0,0,17,999,No,5,1.5733660593473677e-05
393430,Ice Lakes,Iceflake Studios,Paradox Interactive,"200,000 .. 500,000",0,0,0,0,7,1499,Yes,5,1.5733660593473677e-05
1187330,Tower Tag,VR Nerds,VR Nerds,"0 .. 20,000",1,0,1,0,12,999,No,5,1.5733660593473677e-05
858260,Until You Fall,Schell Games,Schell Games,"200,000 .. 500,000",82,0,123,0,11,1249,No,5,1.5733660593473677e-05
1170130,Restrictr,Martin Zudaire,Curtis Dubois,"0 .. 20,000",0,0,0,0,9,0,No,5,1.5733660593473677e-05
1683340,Kayak VR: Mirage,Better Than Life,Better Than Life,"50,000 .. 100,000",0,0,0,0,5,1609,No,5,1.5733660593473677e-05
1192900,IRON REBELLION,Black Beach Studio,Black Beach Studio,"20,000 .. 50,000",0,0,0,0,4,2499,No,5,1.5733660593473677e-05
622380,RETNE,"VRNI Ltd, Kainos","VRNI Ltd, Kainos","0 .. 20,000",0,0,0,0,1,0,No,5,1.5733660593473677e-05
924140,Hand Simulator: Survival,HFM Games,HFM Games,"200,000 .. 500,000",88,0,48,0,5,299,Yes,5,1.5733660593473677e-05
898580,Premium Bowling,Sadetta,Sadetta,"0 .. 20,000",103,0,103,0,8,1999,No,5,1.5733660593473677e-05
518920,Surgeon Simulator: Experience Reality,Bossa Studios,"Bossa Studios, Infogrames","100,000 .. 200,000",112,0,156,0,3,1999,No,5,1.5733660593473677e-05
1771180,No Fair Play,Self MADev,Self MADev,"0 .. 20,000",0,0,0,0,17,299,No,5,1.5733660593473677e-05
1067310,Gravitas,Galaxy Shark Studios,Galaxy Shark Studios,"200,000 .. 500,000",0,0,0,0,12,0,No,5,1.5733660593473677e-05
